,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
224,Micah McFadden,LB,0.0,8.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,36.0,6.5,7.0,6.0,23.0,17.0,59.0,0.0,0.0,0.0
225,Jack Sanborn,LB,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,50.0,3.5,6.0,5.0,9.0,17.0,64.0,0.0,0.0,0.0
226,Amare Barno,DE,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,8.0,1.0,2.0,2.0,12.0,17.0,9.0,0.0,0.0,0.0
227,Kyle Hamilton,S,0.0,7.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,15.0,0.0,46.0,3.5,6.0,4.0,20.0,17.0,62.0,0.0,0.0,0.0
228,Mike Purcell,DT,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.5,2.5,1.0,21.0,4.5,0.0,1.0,2.0,17.0,45.0,0.0,0.0,0.0
229,Jordan Phillips,DT,0.0,9.666999816894531,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.5,14.5,0.0,9.0,4.5,5.0,3.0,13.0,16.0,20.0,0.0,0.0,0.0
230,Adam Gotsis,DE,0.0,3.6670000553131104,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.5,5.5,0.0,10.0,3.0,7.0,3.0,11.0,17.0,19.0,0.0,0.0,0.0
231,Alex Anzalone,LB,4.0,9.666999816894531,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,1.5,14.5,0.0,77.0,9.5,12.0,7.0,16.0,17.0,125.0,0.0,0.0,0.0
232,Folorunso Fatukasi,DT,0.0,3.6670000553131104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.5,5.5,0.0,13.0,3.5,1.0,2.0,5.0,17.0,24.0,0.0,0.0,0.0
233,Matt Milano,LB,28.0,7.666999816894531,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,7.0,0.0,1.5,11.5,0.0,72.0,17.0,33.0,12.0,41.0,16.0,99.0,0.0,0.0,0.0
